delay_error,delivery_prob_error,last_system_size_error,num_packets,net_size,elapsed
0.8311112865140239,1.0,1.0,10,4,0.004640119994292036
0.2196439112156402,0.2904260452442449,0.11304670796567609,100,4,0.003875166003126651
0.11813613110416533,0.3061593923563461,0.10988933676386153,250,4,0.0020594490051735193
0.09727370292077918,0.2097926412947274,0.18043385350112445,500,4,0.0039981900044949725
0.06535886172485941,0.26176601119614795,0.055067679026182634,750,4,0.0035452070005703717
0.02945991576633044,0.16937080047830944,0.0867211890034181,1000,4,0.0032179440022446215
0.014846017115449474,0.007572976812280881,0.03397603115986411,2500,4,0.0031878900044830516
0.02207674604455231,0.013031641649139156,0.010526461837905206,5000,4,0.011465741001302376
0.0007058863405695577,0.13927793901730598,0.06930365643179996,10000,4,0.012774689006619155
0.021397599466502444,0.038605207521419445,0.028924887228832723,25000,4,0.08302232400455978
0.014018422726317422,0.0032211515499762085,0.009479548507981033,50000,4,0.12292846600757912
0.014728940554321028,0.04037620770116778,0.04486792230967601,100000,4,0.19929894000233617
0.48022692421200003,1.8670107526881718,0.060668830304463024,10,5,0.002424842008622363
0.36803612421114157,0.14934845799361943,0.5983679989300044,100,5,0.002748515995335765
0.2637654412155502,0.11425684063292241,0.5771261896122529,250,5,0.007590467997943051
0.13662337889969442,0.05806628248437883,0.39218089132828066,500,5,0.0029940899985376745
0.026015861696353736,0.01070670915360761,0.12749981953741796,750,5,0.002877521008485928
0.055712212659264064,0.09935318779189739,0.21398350918260525,1000,5,0.0035066980053670704
0.04191651899072385,0.040253000374643286,0.03506865440789005,2500,5,0.01975112099898979
0.017669489195438214,0.006976432021414796,0.13627276554489182,5000,5,0.012121199004468508
0.0019809399054499864,0.004900934426476547,0.04921584170103988,10000,5,0.036225367002771236
0.003336265235852074,0.030488321928445673,0.041865353763553936,25000,5,0.0544625670008827
0.008013208602581085,0.023721789061816205,0.03694403791045447,50000,5,0.06180843600304797
0.004723963385743262,0.01638427423925013,0.011079087172415316,100000,5,0.45673579300637357
0.9736442955111626,3.396218949219608,0.8628250765299016,10,4,0.00253289399552159
0.030073173384789948,0.06282216354759769,0.7990218434853986,100,4,0.0018613249994814396
0.16882003265778192,0.14447022231750137,0.24585761228140277,250,4,0.0021637699974235147
0.013110349943544706,0.13502385786145663,0.06468372537939109,500,4,0.0020594910020008683
0.0005187658694333247,0.08864420528712873,0.5385203090179297,750,4,0.002399488992523402
0.005517837546552848,0.015877032665277534,0.1326499797137123,1000,4,0.004201869000098668
0.012949457804689875,0.042302785178043624,0.3085671618834917,2500,4,0.0035435419995337725
0.004448280280722259,0.0050616037215786445,0.0740284341386188,5000,4,0.02754483200260438
