Id,ArrM1,ArrAvg,SrvM1,SrvM2,SrvM3,SrvAvg,SrvStd,SrvCv,SrvSkewness,Rho,NetSize,Capacity,NumPackets,DelayAvg,DelayStd,DeliveryProb
0,0.0475390077485126,0.0475390077485126,0.0002091375448538,2.532523321075781e-06,3.892124535669554e-07,0.0002091375448538,0.0015775882886254,7.543305004023944,98.73010372841246,0.0432523879615904,10.0,500.0,100000.0,0.0106667440508427,0.078035891096517,1.0
1,0.0496862275175101,0.0496862275175101,0.0002813774214852,1.665536300266758e-06,9.10509369249503e-08,0.0002813774214852,0.0012595090499655,4.476226426829572,44.88880169405597,0.0169842351758675,3.0,500.0,100000.0,0.0010376035613806,0.0055678377195779,1.0
2,0.0109601189763993,0.0109601189763993,0.0004946020774337,1.483014852391956e-05,3.1363222366576014e-06,0.0004946020774337,0.0038190990179514,7.721558788768238,55.91313315261839,0.1834351625775429,4.0,500.0,100000.0,0.0217282560871062,0.0896683736238516,1.0
3,0.0300910521290331,0.0300910521290331,0.0003608214567698,5.124651026740589e-06,1.630510504539015e-07,0.0003608214567698,0.0022348286070916,6.193724251041466,14.119435976485542,0.0718226142689972,6.0,500.0,100000.0,0.0102281562895148,0.0319106284295013,1.0
4,0.0143390818075643,0.0143390818075643,0.0002736988506982,3.945517606694177e-06,2.1015035234781938e-07,0.0002736988506982,0.0019673857135347,7.188140207808169,27.17693490006955,0.2859147793183824,15.0,500.0,100000.0,0.1751824243721994,0.2338984358976424,0.9992472146943692
5,0.0132905586851684,0.0132905586851684,0.0004337587987546,8.357080262462844e-06,2.7297559755556144e-06,0.0004337587987546,0.0028581346306578,6.589225714530517,116.45770867096388,0.1964195895198951,6.0,500.0,100000.0,0.047789915407296,0.1981990063199075,0.9982743231181196
6,0.0227362828936856,0.0227362828936856,0.0003525471484276,3.491444511736862e-06,8.489888348741834e-07,0.0003525471484276,0.0018349809317462,5.204923483085943,136.82304175431997,0.1085711052735444,7.0,500.0,100000.0,0.0154405558248613,0.1004943015928029,1.0
7,0.0113275451868852,0.0113275451868852,0.0002688643349384,3.253383187140957e-06,4.21305251071336e-07,0.0002688643349384,0.0017835624902254,6.633689405601244,73.80039388318556,0.4196812320571784,20.0,500.0,100000.0,0.3854802835592501,0.6596372173159348,0.8735275883446993
8,0.0317378808212253,0.0317378808212253,0.0002557178633402,2.9647615297116666e-06,4.832507176866771e-07,0.0002557178633402,0.0017027536240103,6.658719894529732,97.43128382034352,0.0890514057997295,11.0,500.0,100000.0,0.026185995401803,0.125332791618119,1.0
9,0.0283161070529876,0.0283161070529876,0.0004236553350647,6.666539614706368e-06,2.761494569488319e-07,0.0004236553350647,0.0025469699196844,6.011891528038776,16.21009230354494,0.2122192119320023,14.0,500.0,100000.0,0.119702546273665,0.1700817625133381,1.0
