,net_size,num_packets,elapsed,delay_error,delivery_prob_error,last_system_size_error
606,6,2500,0.009857426979579031,0.02147931147520644,0.005782971105247036,0.027115145103553326
607,6,2500,0.00982580499839969,0.029042581120855438,0.011193083171791686,0.06898018447197189
608,6,2500,0.00988329597748816,0.017840307016123127,0.0017399570799666825,0.11723241220181738
609,6,2500,0.009896470990497619,0.009430617697292582,0.011598533485814123,0.05245071432705239
610,6,2500,0.009758641012012959,0.043705957030800664,0.004247852797916145,0.08709783966986578
611,6,2500,0.009816473990213126,0.02044790486520009,0.004550510916445752,0.029354649459354752
612,6,2500,0.009944062010617927,0.01381482669224132,0.002101327639554522,0.04937051112476278
613,6,5000,0.01760126301087439,0.047085811125856664,0.009762019607046991,0.09161670569222666
614,6,5000,0.017437436006730422,0.03714055560222672,0.007240495997281303,0.054301057867752876
615,6,5000,0.01773351800511591,0.0009424317824178685,0.006225565722288165,0.01667923462086099
616,6,5000,0.017778034001821652,0.010444741528786501,0.0106089269461092,0.04011579124816255
617,6,5000,0.01738795600249432,0.008605146435170206,0.000617983578370613,0.0903649120451156
618,6,5000,0.017440505005652085,0.035808073381342335,0.009960123785195117,0.09391828113098814
619,6,5000,0.017543660011142492,0.00120052436478233,0.003787928193720647,0.013305454444527352
620,6,5000,0.017643347004195675,0.022719097131615545,0.0008461366624422769,0.07253677613616615
621,6,5000,0.019840538006974384,0.01797915703468628,0.0011973136401964124,0.022278867274720518
622,6,5000,0.01741102000232786,0.004652977595561264,0.0020251650172042213,0.015102499131066774
623,6,5000,0.01745624400791712,0.01831260964932138,0.004309421594503157,0.01676584148915025
624,6,5000,0.017665663006482646,0.017058945719824425,0.010985871474420405,0.011125742470650938
625,6,5000,0.017503351002233103,0.02611138504291418,0.009728017110169278,0.02189661745177455
626,6,5000,0.017594375007320195,0.00982670217685265,0.003089663813080074,0.032096067072408564
627,6,5000,0.017617236997466534,0.002541400169075939,0.005782336651316055,0.018172264755990642
628,6,5000,0.01736956901731901,0.007110090854935439,0.001868439095058636,0.004918168353011732
629,6,5000,0.017481048998888582,0.013464811256183259,0.0022321278614560874,0.040596036396637544
630,6,5000,0.017413549008779228,0.03469339221519295,0.0019007067531402492,0.056295357260292715
631,6,5000,0.017579245992237702,0.010471395898058396,0.0035201449131490033,0.02948526092240547
632,6,5000,0.017695849994197488,0.0022149389450937446,0.005414059301172931,0.040652044801039955
633,6,10000,0.03289478801889345,0.002870984142037331,0.0019037241805149822,0.001403900717376334
