,sta_where_packets_arrive,simulation_type,num_generated_packets,mode,num_stations,queue_capacity,mean_arrival_time,std_arrival_time,bitrate,mean_packet_size,std_mean_packet_size,delivery_prob,e2e_delay,e2e_delay_std,mean_service_time,rho
33,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,14,10,57.288,52.136,53.254,2250.673,2191.234,0.0011029918654349435,7705.103973526843,1050.6685075773453,40.06017858463646,0.6992769617482975
34,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,11,10,49.53,45.217,55.7,2181.494,2030.317,0.0034095908490980875,4546.396629962635,509.38334266675156,33.92489280215567,0.6849362568575745
35,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,9,9,46.254,45.23,51.928,2277.81,2106.283,0.008843233586422472,3836.514248654176,558.1584719585144,37.50717490611131,0.8108958123862003
36,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,20,6,46.302,41.867,54.198,2361.911,2016.742,0.00040642145905300797,5960.494353702088,138.1826303670346,31.772683479631286,0.686205422651965
37,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,11,5,42.929,42.18,50.654,2283.041,2013.192,0.005239103778842957,2737.7323451918123,444.5458076772277,35.0463613905587,0.8163796359234713
38,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,5,55.895,57.163,57.127,2222.954,2369.482,0.187023207259295,843.887010281976,278.36420152754795,38.91249321686769,0.6961712714351496
39,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,7,50.435,46.477,51.984,2128.027,2337.452,0.09874583267185266,1337.3295816496432,339.5931671956795,40.9361919052016,0.8116623754377238
40,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,7,8,49.845,41.006,50.449,2220.458,2381.497,0.007057661091114387,3050.8616051677545,527.5869268870988,44.01391504291463,0.8830156493713438
41,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,9,50.631,54.474,60.763,2270.984,2205.688,0.006216479765967842,5021.724839249023,595.8695485786155,35.25614946265742,0.696335238542739
42,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,10,6,45.31,48.556,53.244,2242.038,2393.036,0.00325027085590468,3491.2340307104814,663.0099809597017,42.1087446472842,0.9293477079515382
43,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,2,9,58.031,53.891,60.516,2229.438,2094.182,0.717222211113555,352.2476812991517,171.26382014976514,32.50597757018426,0.5601484994258975
44,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,5,51.739,45.21,59.829,2037.259,2323.384,0.0016835016835017313,3342.7641172686735,1192.1673392411599,34.051363051363055,0.658137247557221
45,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,8,7,53.796,49.07,52.161,2327.71,2345.561,0.008858739026336826,3256.782650120582,583.2085157724371,44.62548647456912,0.8295316840391316
46,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,5,59.45,46.021,57.698,2022.77,2191.768,0.32494507689235075,651.4690270079687,247.3593109169211,35.05788762175465,0.5897037446888923
47,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,8,10,47.165,58.165,59.753,2212.712,2314.343,0.025544220419310815,3609.866123006919,511.26820845236165,37.03097752414106,0.785136807466152
48,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,9,53.329,52.385,56.4,2138.788,2362.309,0.0027302943969610416,5350.734600401617,560.7404046775365,37.921773049645395,0.7110910208262933
49,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,5,49.147,41.576,55.077,2202.643,2383.653,0.07001650762974598,976.3446989591696,284.3802271452385,39.99206565353959,0.8137234348696684
50,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,15,5,59.536,56.571,58.608,2215.037,2150.405,0.002275140300318501,4063.1929686258986,795.6976209947521,35.62071527185726,0.5983054836041598
51,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,16,7,55.453,57.751,59.797,2289.978,2264.255,0.001955671447196883,6155.897958157814,981.6341971801784,37.44035558359453,0.6751727694370824
52,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,9,5,54.483,49.585,58.411,2014.569,2160.769,0.012399643175735942,2215.582144075464,457.47547381585974,34.48954820153738,0.6330332067165425
53,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,6,44.366,58.195,58.211,2143.361,2001.482,0.20614915308661796,806.5033264610602,237.61879862988206,32.10724139219122,0.7236902446060322
54,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,1,10,47.325,57.013,56.567,2165.817,2363.059,0.9605868469477559,173.92164275838266,144.42876481649895,38.28764120423568,0.809036264220511
55,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,16,8,41.381,57.078,50.471,2383.886,2270.748,0.0005085607730124231,6657.859092251834,622.3489451472348,42.85588696728253,1.035641646342102
56,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,20,9,42.739,46.663,50.304,2093.104,2069.88,0.00039549139806205336,9502.74025207098,956.2683654944784,40.69087312139919,0.9520782685930694
57,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,14,5,51.767,47.308,52.269,2000.856,2331.056,0.0008331019161343933,4192.276446469711,618.0187532852765,38.27997474602536,0.7394667403176803
58,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,8,5,45.891,57.899,53.985,2184.073,2220.491,0.019853709508881878,2224.8074448138573,431.7382807005541,40.45703436139669,0.8815897313503015
59,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,14,9,47.515,45.948,50.946,2009.824,2017.949,0.00027793218454696955,6563.27765962651,102.66948819960099,39.45008440309348,0.830265903464032
60,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,7,43.037,41.264,59.757,2053.568,2374.916,0.002259215219976185,4396.020275537623,884.7675082141859,34.36531285037736,0.7985062353411566
61,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,17,10,58.797,44.529,60.658,2090.014,2253.475,0.0020408163265306367,8041.617141580168,652.6223901102984,34.45570246298922,0.5860112329368713
62,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,8,9,46.5,52.161,51.147,2167.015,2025.914,0.020882616852924363,3274.3523958276774,514.5985879949278,37.03053002776402,0.7963554844680435
63,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,13,10,46.263,45.231,55.106,2237.879,2239.089,0.001285677552069986,7028.5178594029,931.9388368571515,40.610441694189376,0.8778168664848665
64,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,10,10,50.119,59.248,59.055,2244.03,2349.394,0.010960281548516804,4744.043512833727,771.7877314239412,37.998983997968004,0.7581752229287896
65,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,6,7,54.05,57.804,53.55,2374.133,2157.161,0.08231852913085003,1730.9381042504042,386.89174121961537,36.601644625976306,0.6771812141716246
66,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,5,7,53.294,42.8,56.049,2345.575,2065.526,0.2298592392932015,1084.868475190788,286.7954187030674,32.4521996763774,0.6089278282053777
67,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,2,7,40.718,41.668,50.523,2193.22,2073.787,0.4530131144903049,474.22298675637774,197.91953868080353,38.81119073745604,0.9531703604660355
68,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,13,8,47.82,52.421,54.58,2190.587,2235.003,0.0013996691691054997,5649.0773604335345,1016.19309277702,40.13534261634298,0.8393003474768503
69,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,7,8,56.704,40.916,53.642,2397.317,2277.176,0.037739812351211266,2718.845571705201,503.00084616334345,40.32392228254176,0.7111301192604006
