iter	Logloss
0	0.5298219607
1	0.4133205624
2	0.3478177814
3	0.2988963933
4	0.2640124266
5	0.2416755171
6	0.2257821245
7	0.2119276601
8	0.1999365956
9	0.1888395027
10	0.1815692061
11	0.1758919127
12	0.1687033753
13	0.1633064963
14	0.1580793274
15	0.154752641
16	0.1521042592
17	0.1486729644
18	0.1457925838
19	0.143204613
20	0.1401026273
21	0.1367811155
22	0.1344105659
23	0.1325836019
24	0.1306486865
25	0.1288316591
26	0.1275600564
27	0.125083904
28	0.1239400231
29	0.122430642
30	0.1210463357
31	0.1193805025
32	0.1183328967
33	0.1170790109
34	0.1155255146
35	0.1143418985
36	0.1128909477
37	0.1117773769
38	0.110769562
39	0.1094125277
40	0.1085574386
41	0.1077219416
42	0.1062480429
43	0.1053274911
44	0.1044277463
45	0.1030888199
46	0.10236906
47	0.1015017995
48	0.1005454183
49	0.09974751962
50	0.09899178707
51	0.09802080814
52	0.09713270439
53	0.09620977878
54	0.09538051376
55	0.09458288695
56	0.09410940767
57	0.09351773023
58	0.0926564717
59	0.09197315232
60	0.09145251103
61	0.09091529818
62	0.09017571704
63	0.08979166586
64	0.08923775586
65	0.08889496226
66	0.08814667164
67	0.08757075982
68	0.08669196073
69	0.08618352893
70	0.08535640816
71	0.08497453736
72	0.08453636758
73	0.0841984614
74	0.0836008081
75	0.0831343141
76	0.08237047705
77	0.0818830261
78	0.08154556248
79	0.08112403336
80	0.08057675855
81	0.08010670827
82	0.07969591641
83	0.07934373118
84	0.07886784797
85	0.07855389797
86	0.07822887214
87	0.07800752353
88	0.0776994684
89	0.07744249127
90	0.07683845519
91	0.07660684384
92	0.07621033128
93	0.07586232237
94	0.07536369569
95	0.07502763966
96	0.07451236013
97	0.07425345992
98	0.07387443104
99	0.07342477515
100	0.07321086737
101	0.07282209624
102	0.07255498867
103	0.0722136693
104	0.07190022107
105	0.07144800893
106	0.07108842012
107	0.07074035064
108	0.07054267518
109	0.07018879726
110	0.06995192447
111	0.06963175239
112	0.06936508088
113	0.0691369702
114	0.06875248705
115	0.068450661
116	0.06817220114
117	0.06788483469
118	0.06768725466
119	0.06754678827
120	0.06716788826
121	0.06686711645
122	0.06653179997
123	0.06632354509
124	0.0660306765
125	0.06569985218
126	0.06537306293
127	0.06507356678
128	0.06478536184
129	0.06450907494
130	0.06426724558
131	0.06402453106
132	0.06372137222
133	0.06352451511
134	0.06323433195
135	0.06298405361
136	0.0627001359
137	0.0624620721
138	0.06227569579
139	0.06206308281
140	0.06182889195
141	0.06157379938
142	0.06138988238
143	0.06114363733
144	0.06089070307
145	0.06073219793
146	0.06054877715
147	0.06035170774
148	0.06010369655
149	0.05994219705
150	0.05969844461
151	0.05949992541
152	0.0592764338
153	0.05909601324
154	0.05889119904
155	0.0587128375
156	0.05852416509
157	0.05832299665
158	0.05816352392
159	0.05787002629
160	0.05761255523
161	0.05738302498
162	0.05718112821
163	0.05693474756
164	0.05671498443
165	0.05659968282
166	0.05639379159
167	0.05620715678
168	0.05608713936
169	0.05589305257
170	0.05570558357
171	0.05555658035
172	0.05532834935
173	0.05521519155
174	0.05498751891
175	0.05474831977
176	0.05460864087
177	0.05442145458
178	0.05425678649
179	0.05409513592
180	0.05397074045
181	0.05382948591
182	0.05356883207
183	0.0533947752
184	0.05325547018
185	0.05313926326
186	0.05297809763
187	0.05275169133
188	0.05258106263
189	0.05244086276
190	0.05227413457
191	0.05208547071
192	0.05195285293
193	0.05179548656
194	0.05167223928
195	0.05153191497
196	0.05135608282
197	0.05123071514
198	0.05105714794
199	0.05092568599
200	0.05081899621
201	0.05070612785
202	0.05062702829
203	0.0505118024
204	0.05035734663
205	0.050233921
206	0.05006553295
207	0.04994100772
208	0.04976053807
209	0.04958710199
210	0.04949928277
211	0.04934511775
212	0.04920885104
213	0.04913099099
214	0.04897976264
215	0.04884578596
216	0.0487690221
217	0.04862965685
218	0.04849868826
219	0.04832788037
220	0.04819745074
221	0.0480638829
222	0.04790523675
223	0.04779030624
224	0.04768345823
225	0.04753248274
226	0.04740931951
227	0.04730498831
228	0.04714923928
229	0.04704543344
230	0.04693426943
231	0.04681129551
232	0.04669977494
233	0.04655190273
234	0.04645938219
235	0.04635816569
236	0.04624666914
237	0.04617483129
238	0.04607075047
239	0.04595917683
240	0.04587142397
241	0.0458005217
242	0.04567044445
243	0.04553602275
244	0.0454301481
245	0.04535188549
246	0.04526457383
247	0.04517091673
248	0.0450311011
249	0.04497270692
250	0.04481965291
251	0.04470578928
252	0.04459608623
253	0.04451017491
254	0.04438391385
